id;nimLivrePolice;typeDePiece;immatriculation;refConstructeur;codeCompatibilite;CNITTypeMine;vin;marque;modele;version;energie;numeroDeSeriePiece;kms;garantie;prixVente;prixMinimum;prixAchat;empl;emplacementCasier;commentaireCommercial;commentaireInterne;disponibilite;export;demonte;pieceLourde;dmsRef
1;;NULL;;;NULL;;;PEUGEOT;106;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;1.5 D/PAS DE POMPE A VIDE;NULL;NULL;NULL;0;NULL
2;28591 FAUX;NULL;;;NULL;;;FORD;ESCORT XR3;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;INJ/ALLUMEUR HS;NULL;NULL;NULL;0;NULL
3;;NULL;;JC7;NULL;;;FORD;ESCORT;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;1.4;NULL;NULL;NULL;0;NULL
4;;NULL;;;NULL;;;FORD;ESCORT;;NULL;NULL;75000;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
5;;NULL;;;NULL;;;RENAULT;SAFRANE V6 3 0;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
6;10005;NULL;;HBM;NULL;;;VOLKSWAGEN;POLO;;NULL;NULL;132000;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
7;;NULL;;831A2000;NULL;;;LANCIA;DEDRA;;NULL;NULL;157000;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
8;;NULL;;;NULL;;;OPEL;;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
9;;NULL;;G055517;NULL;;;AUDI;90 2 3L QUATTRO;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
10;;NULL;;IN;NULL;;;SUZUKI;MARUTI;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
11;;NULL;;D420685;NULL;;;TOYOTA;YARIS;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
12;;NULL;;SR20;NULL;;;NISSAN;PRIMERA 2 0L 16V;;NULL;NULL;69000;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
13;;NULL;;F4766;NULL;;;ROVER;114 GTI;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
14;;NULL;;;NULL;;;ROVER;111;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
15;;NULL;;;NULL;;;ROVER;111;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
16;;NULL;;;NULL;;;ROVER;114 GTI 16S;;NULL;NULL;120000;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
17;;NULL;;99AH08P;NULL;;;AUSTIN;METRO;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
18;;NULL;;89H987R;NULL;;;AUSTIN;METRO;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
19;;NULL;;8P127558;NULL;;;FORD;;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
20;;NULL;;852C720;NULL;;;RENAULT;TRAFIC DCI;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
21;;NULL;;6LD325;NULL;;;AIXAM;;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
22;;NULL;;Z400;NULL;;;AIXAM;AIXAM;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
23;;NULL;;246DA;NULL;;;BMW;;;NULL;NULL;0;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;;NULL;NULL;NULL;0;NULL
24;;NULL;;;NULL;;;HONDA;LEGEND;;NULL;NULL;112000;NULL;1.00;NULL;NULL;AUTO PIECES REIMS;NULL;;3.2 V6 SANS ETIQUETTE;NULL;NULL;NULL;0;NULL
